,1_AK124p1_Adh.count,2_AK124p1_SPH3d.count,3_AK124p1_SPH6d.count,4_AK124p1_SPH9d.count,5_AK125p1_Adh.count,6_AK125p1_SPH3d.count,7_AK125p1_SPH6d.count,8_AK125p1_SPH9d.count,AK82p2Adh,AK82p3SPH3d,AK82p3SPH6d,AK82p3SPH10d,AK86p1Adh,AK86p2-SPH3d,AK86p2-SPH6d,AK86p2-SPH10d
ADCY5,56,261,281,364,185,1045,1130,1056,132,2020,2579,3232,176,2394,3220,2446
ADCY6,321,282,274,274,566,1130,1040,838,1571,3165,3670,3692,1485,3489,3819,3550
ADCY7,121,93,78,71,255,344,319,231,945,640,608,715,651,613,689,861
ADCY8,2,0,0,0,6,4,5,1,2,2,3,1,5,2,2,0
ADCY9,200,179,141,156,391,401,474,374,438,655,751,771,278,723,737,541
ADCYAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ADCYAP1R1,0,0,0,0,0,0,0,0,2,2,2,1,0,2,3,4
ADD1,1193,1215,1100,1120,2735,3973,3996,3303,4816,6120,6604,6096,2176,6394,6706,6080
ADD2,28,14,14,2,52,42,40,20,172,90,47,49,67,76,67,71
ADD3,342,345,333,295,762,1144,1022,939,2262,2339,2648,2520,1639,2706,2568,2180
ADD3-AS1,0,0,0,0,1,2,1,0,3,1,3,1,3,8,4,2
ADGB,0,0,0,0,0,0,0,1,1,2,0,0,0,2,3,0
ADH1A,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5
ADH1B,0,1,1,2,0,1,0,2,1,1,0,1,0,0,0,1
ADH1C,0,81,52,57,2,102,157,109,6,87,157,105,6,24,51,74
ADH4,0,0,2,0,0,1,1,2,1,3,8,2,0,4,1,1
ADH5,924,761,667,610,2075,1994,2139,1725,5042,5178,5600,4834,3150,5339,5086,3751
ADH6,0,42,39,77,10,192,281,335,23,196,441,711,21,151,276,202
ADH7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ADHFE1,43,38,37,44,128,126,133,111,98,177,240,239,295,190,185,131
ADI1,165,308,233,202,369,962,811,740,1008,1335,1524,1373,483,1467,1510,1494
ADIG,0,0,0,0,0,2,1,0,1,0,0,0,0,1,1,0
ADIPOQ,1,0,1,0,3,2,0,1,3,2,4,7,5,4,2,3
ADIPOQ-AS1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
ADIPOR1,582,559,429,434,1303,1528,1540,1365,2226,2126,2470,2347,1414,2250,2248,2134
ADIPOR2,305,310,247,253,644,783,889,801,2405,2191,2767,2577,1249,2301,2650,2493
ADIRF,1528,537,300,163,2671,1724,1018,581,3087,3470,1966,1340,1975,2220,1261,1687
ADK,172,94,107,82,416,320,318,336,1280,798,974,942,918,739,891,978
ADM,544,47,90,86,1285,201,212,222,1016,559,348,437,1281,634,336,640
ADM2,160,87,101,123,587,299,370,328,229,587,790,507,505,829,886,408
ADM5,12,2,7,5,74,12,13,14,176,19,12,17,351,13,15,12
ADNP,385,462,388,387,968,1372,1405,1096,2649,3891,4595,3690,1935,3948,4168,3367
ADNP2,213,152,142,119,450,413,492,393,1278,1509,1465,1125,869,1620,1389,1060
ADO,209,207,196,164,443,626,586,473,619,742,882,705,437,927,1006,603
ADORA1,52,79,67,62,163,333,379,348,616,533,718,682,156,399,527,706
ADORA2A,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0
ADORA2A-AS1,0,1,2,1,5,7,2,8,8,10,16,12,19,14,17,10
ADORA2B,61,5,6,14,130,66,48,42,252,70,88,102,152,88,101,116
ADORA3,0,1,0,0,0,0,0,0,0,3,0,1,1,2,0,0
ADPGK,270,182,165,190,534,657,616,572,1366,1164,1435,1382,1030,1138,1318,1231
ADPGK-AS1,3,1,0,3,0,1,3,1,6,6,5,3,9,11,5,10
ADPRH,34,31,36,20,58,98,91,63,166,159,210,193,95,169,240,136
ADPRHL1,1,1,3,10,24,39,31,32,15,23,19,24,7,16,19,10
ADPRHL2,238,151,155,149,416,496,527,442,1035,1064,1162,1013,844,1235,1188,949
ADPRM,51,28,19,24,136,70,90,53,160,140,151,143,185,126,145,113
ADRA1A,5,2,4,2,6,6,6,6,24,26,21,20,45,19,24,19
ADRA1B,31,16,24,23,62,50,68,50,147,114,124,131,51,127,93,253
ADRA1D,0,0,0,0,1,0,3,0,3,5,4,4,13,3,3,2
ADRA2A,1,8,12,13,1,35,42,39,25,11,22,24,6,20,27,11
ADRA2B,0,0,0,0,1,0,0,1,0,2,1,1,2,1,0,0
ADRA2C,0,3,6,3,9,7,15,23,1,0,3,7,2,6,15,2
ADRB1,0,0,0,0,0,0,3,0,2,0,0,1,3,0,1,2
ADRB2,84,18,26,24,253,71,106,55,350,256,199,152,341,314,254,209
ADRB3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ADRBK1,456,358,304,318,1098,1229,1220,1116,1341,1720,1835,1877,1086,2004,2053,2006
ADRBK2,26,23,33,18,86,94,94,74,151,140,187,249,193,156,231,183
ADRM1,545,507,482,414,1315,1734,1614,1450,2442,1680,1418,1661,1357,2242,2024,1945
ADSL,508,303,241,240,1114,910,846,737,2417,1710,1671,1429,1344,1546,1526,1485
ADSS,226,206,218,207,502,594,701,654,1570,1562,2177,2083,851,1624,1780,1972
ADSSL1,90,57,30,29,168,129,116,97,96,184,188,153,200,250,202,100
ADTRP,8,2,1,5,23,6,8,10,143,24,27,27,113,22,18,29
AEBP1,116,17,23,20,866,208,192,157,463,294,260,162,285,165,110,351
AEBP2,79,89,91,82,214,302,271,245,684,816,941,770,585,909,873,692
AEN,192,153,178,131,518,531,505,383,2010,1034,1140,1030,1865,1186,1203,1187
AES,2018,1802,1514,1548,5537,8671,8163,6946,4895,5923,5752,5530,3706,6987,6306,6339
AFAP1,279,173,204,204,588,651,673,572,1160,1272,1306,1124,517,1479,1293,1456
AFAP1-AS1,2,1,3,5,2,5,2,3,27,50,48,27,18,49,26,9
AFAP1L1,151,122,131,98,255,339,329,193,1081,1191,1154,955,536,1339,1133,783
AFAP1L2,40,25,21,10,127,174,193,166,417,424,394,366,233,559,584,1049
AFF1,733,778,774,723,1618,2122,2265,2016,3853,5146,6028,5398,3140,5892,6261,4456
AFF2,15,26,31,42,16,54,52,56,11,57,101,142,19,97,117,60
AFF3,61,51,56,49,135,141,135,110,158,131,168,168,117,172,221,109
AFF4,709,691,645,656,1630,1960,2289,2020,4484,7658,8552,7861,4293,9029,8450,7977
AFG3L1P,36,66,68,45,85,138,175,100,409,581,603,448,458,527,510,395
AFG3L2,422,315,356,382,880,992,1155,1001,2405,2938,3194,2740,1286,2854,2711,2093
AFM,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AFMID,138,87,90,117,371,310,361,347,328,473,535,555,344,412,497,415
AFP,2,5,2,2,1,5,4,2,10,4,6,0,1,7,6,3
AFTPH,217,199,191,210,438,745,717,663,1002,1277,1690,1970,566,1418,1742,1656
AGA,117,116,102,129,331,369,440,333,697,701,852,815,376,747,750,660
AGAP1,344,281,297,328,664,904,1050,932,1388,2062,2284,2322,603,2514,2584,2180
AGAP11,19,16,13,7,17,52,49,28,80,148,128,78,149,115,74,59
AGAP2,0,0,0,1,2,1,1,1,5,0,3,2,1,2,0,0
AGAP2-AS1,20,15,7,14,23,45,24,19,60,19,29,15,30,20,17,8
AGAP3,339,237,227,234,722,855,758,665,1164,1122,1104,1273,755,1298,1195,1228
AGAP4,12,9,6,9,17,28,29,20,59,83,104,85,111,70,90,68
AGAP5,7,6,10,6,24,29,24,19,71,79,96,109,94,60,81,88
AGAP6,21,52,40,22,63,115,121,95,157,182,249,232,303,240,258,247
AGAP7,3,1,0,0,0,1,6,5,0,2,4,3,13,12,4,6
AGAP9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AGBL1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AGBL1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGBL2,8,7,10,16,12,30,27,29,27,52,68,84,39,40,52,45
AGBL3,9,13,19,14,18,37,39,17,67,68,71,73,60,56,66,35
AGBL4,0,4,1,0,1,4,2,9,1,7,6,13,0,6,11,12
AGBL4-IT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AGBL5,474,474,359,342,979,1153,972,912,995,1445,1375,1215,717,1563,1506,858
AGBL5-AS1,0,0,0,0,1,0,1,0,0,0,1,1,0,3,0,0
AGER,24,16,19,19,50,41,37,44,99,94,93,100,180,105,101,106
AGFG1,590,568,480,465,1446,1819,1980,1665,3446,4094,4332,3780,3082,4426,4473,3420
AGFG2,64,89,97,106,229,316,319,330,366,282,367,396,165,309,344,363
AGGF1,225,218,242,200,451,691,688,603,1034,1086,1378,1296,424,1182,1324,1213
AGK,179,150,141,136,375,410,471,402,735,805,1017,889,664,949,1023,749
AGL,132,120,136,132,256,401,422,378,823,1292,1559,1677,667,1202,1481,1363
AGMAT,14,21,33,36,19,39,54,45,65,170,147,140,69,161,93,69
AGMO,0,1,1,3,2,4,6,3,3,6,7,5,5,9,10,4
AGO1,117,153,118,108,214,377,425,330,652,756,921,843,358,859,950,913
AGO2,91,68,62,50,201,250,261,219,630,581,572,502,499,890,925,853
AGO3,36,40,32,24,73,89,100,90,156,126,161,162,139,149,221,185
AGO4,133,79,93,87,303,241,257,257,653,1224,1397,1312,638,1149,1166,1066
AGPAT1,629,577,522,491,1384,1765,1637,1361,1801,1638,2022,2001,865,1800,2056,1729
AGPAT2,297,276,210,229,632,883,883,718,807,685,561,699,589,1156,1044,853
AGPAT3,966,727,671,721,1854,2158,2334,2030,3035,3133,3657,3478,1672,3949,3896,3352
AGPAT4,206,150,112,122,354,368,378,322,753,932,973,931,719,954,984,871
AGPAT4-IT1,5,9,3,3,10,18,18,13,48,56,38,39,75,64,87,35
AGPAT5,148,124,106,74,258,274,301,264,1141,759,924,835,558,815,906,622
AGPAT6,509,391,440,482,1211,1327,1613,1424,2712,3605,4263,4144,1807,4031,4317,3409
AGPAT9,301,141,125,101,584,535,481,333,1782,1622,1552,937,777,1386,1357,1146
AGPS,371,425,465,377,733,1003,1038,897,2473,2270,2616,2497,1250,2352,2410,2105
AGR2,41,155,257,332,28,151,166,163,34,133,173,205,36,218,409,630
AGR3,0,0,0,0,0,0,0,2,0,1,3,5,1,1,3,8
AGRN,8062,4931,5364,6021,17096,15663,18460,18055,13456,14902,14382,18482,8640,27155,26612,24446
AGRP,0,1,0,0,0,0,0,0,1,2,0,2,1,0,2,0
AGT,89,245,356,357,121,315,522,700,20,241,685,1156,48,372,785,365
AGTPBP1,132,107,107,110,362,283,339,271,946,845,898,799,683,837,793,726
AGTR1,1,1,3,3,0,3,2,5,2,4,2,7,1,2,14,1
AGTR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGTRAP,308,249,243,219,697,737,750,733,1126,663,809,882,736,694,777,773
AGXT,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
AGXT2,21,45,64,66,45,128,138,103,134,99,120,185,37,83,73,58
AHCTF1,136,136,130,111,313,372,393,316,1360,1227,1349,1085,839,1324,1430,1146
AHCTF1P1,1,0,0,1,1,5,4,6,8,4,5,7,3,8,9,10
AHCY,1328,761,613,598,3265,2219,2080,1748,6531,3722,3844,3647,3607,3810,3903,4430
AHCYL1,1888,1697,1571,1485,4098,4832,4831,3941,7330,10192,10983,9526,5711,11757,11042,7689
AHCYL2,213,182,180,205,436,618,609,523,471,1240,1432,1511,368,1187,1181,1310
AHDC1,250,213,175,190,506,650,686,633,358,890,829,677,253,1323,1317,781
AHI1,118,57,38,35,285,158,171,124,581,584,579,551,1038,509,481,368
AHNAK,6527,2812,3750,3451,11620,9726,12685,10344,43848,44861,51700,46990,27703,48435,58478,75045
AHNAK2,1617,916,1150,1263,2026,2054,3412,2800,6277,6718,7999,8022,2948,4278,4649,7608
AHR,271,275,218,211,773,747,767,644,1493,1588,2359,2149,1249,3128,3807,2723
AHRR,10,9,11,7,30,83,79,63,145,825,588,287,88,503,460,157
AHSA1,362,342,279,261,859,1095,994,874,2252,1287,1593,1750,1253,1456,1676,1656
AHSA2,251,180,156,126,530,535,551,392,1357,1642,1526,1571,3518,1482,1334,1234
AHSG,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0
AHSP,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AICDA,5,6,4,1,11,12,8,11,14,26,36,24,30,29,35,13
AIDA,569,459,354,377,1081,1295,1335,1171,3829,3010,3243,3009,1873,3221,3111,3193
AIF1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AIF1L,1858,1441,1528,1547,2833,3524,4602,4537,3365,11355,15656,14035,2378,10843,13947,12569
AIFM1,441,620,695,675,861,1555,1747,1677,1672,3013,3327,3382,1033,3377,3068,1892
AIFM2,92,72,63,61,178,248,275,165,434,798,586,502,259,722,604,315
AIFM3,5,2,4,4,10,10,6,7,16,13,8,15,25,5,18,9
AIG1,400,260,222,258,982,668,687,623,1540,1043,1384,1425,1464,1126,1373,1206
AIM1,146,138,127,91,262,495,401,248,1397,1295,1191,905,933,1480,1443,1962
AIM1L,3,7,4,0,23,13,12,13,16,53,64,38,29,38,79,216
AIM2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
AIMP1,215,149,166,139,504,471,472,426,1692,1204,1421,1268,1184,1299,1273,1167
AIMP2,197,136,114,145,451,430,503,447,538,393,420,385,261,404,415,397
AIP,246,180,191,137,511,562,436,415,871,817,726,758,706,909,817,677
AIPL1,4,2,0,1,5,7,4,2,21,14,18,18,20,14,18,9
AIRE,0,0,0,0,1,2,1,0,0,2,0,1,4,2,1,2
AIRN,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AJAP1,89,114,126,149,149,541,733,648,346,893,1076,978,48,383,462,712
AJUBA,616,224,265,215,1173,642,756,635,1506,2358,2567,1465,1628,2393,2541,1677
AK1,225,325,261,226,490,909,902,709,837,1255,1159,1121,677,1246,1082,1092
AK2,1084,728,695,672,2650,2356,2528,2181,4993,3533,3989,3673,3186,3454,3747,3172
AK3,565,456,432,458,1328,1435,1403,1289,2370,3105,3429,3120,1351,3468,2893,1930
AK4,1032,567,618,640,1603,1215,1318,1258,3261,2846,3007,2885,1642,3227,3010,2361
AK5,1119,477,424,397,2111,1047,865,700,2129,1185,848,780,1830,825,606,741
AK6,93,71,62,62,192,168,214,177,499,433,557,506,396,448,499,407
AK7,40,19,22,29,94,57,67,54,199,199,267,257,209,178,271,172
AK8,42,27,39,39,76,71,75,68,36,76,111,109,68,98,126,64
AK9,29,41,39,35,57,120,93,82,118,117,183,191,101,182,229,188
AKAP1,243,245,225,232,567,750,815,647,1402,1492,1650,1565,651,1533,1669,1463
AKAP10,203,181,132,116,368,497,498,451,795,903,1095,979,536,952,969,900
AKAP11,218,271,254,211,458,655,718,620,1482,2138,2702,2844,1079,2519,3050,2847
AKAP12,1552,1287,1058,836,3709,5477,4926,3229,14071,23772,16079,10104,8072,27260,20787,13950
AKAP13,376,460,445,409,1007,1557,1714,1392,3148,4298,4839,4842,2492,5782,5980,5470
AKAP14,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0
AKAP17A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKAP2,12,4,4,0,16,7,10,11,0,1,1,0,4,8,2,6
AKAP3,5,18,9,7,10,57,41,43,35,30,39,44,12,18,19,48
AKAP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKAP5,10,19,11,21,22,51,74,58,84,202,296,199,98,174,232,123
AKAP6,13,16,13,19,26,42,51,51,52,86,164,154,15,79,98,119
AKAP7,24,26,24,30,63,95,107,91,152,186,370,393,94,222,329,302
AKAP8,175,147,171,158,385,526,570,425,1150,1059,1049,995,1132,1267,1152,1100
AKAP8L,368,338,319,298,758,1094,1032,998,1099,1728,1686,1522,1273,2156,1762,1405
AKAP9,204,212,209,229,461,537,615,549,1719,2205,2694,2737,1961,2730,3193,2705
AKIP1,118,103,85,91,265,322,334,269,443,405,472,476,306,465,482,433
AKIRIN1,562,469,459,398,1388,1737,1650,1391,1852,2746,3253,2564,1445,3322,3220,2381
AKIRIN2,459,340,320,338,1152,1082,1102,1051,865,811,952,795,727,945,898,715
AKNA,215,230,153,145,605,1266,960,678,1010,1184,1079,1142,757,1512,1562,1951
AKNAD1,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0
AKR1A1,444,353,325,375,1059,1092,1056,992,2240,2484,2661,2579,2022,2430,2240,2107
AKR1B1,7283,2140,1963,1472,8937,6897,6105,4453,10959,12039,8621,6679,13789,11704,8450,8414
AKR1B10,56,123,95,69,153,361,311,270,51,682,476,378,231,626,254,87
AKR1B15,1,5,4,5,0,0,0,0,1,17,16,10,11,39,7,4
AKR1C1,128,200,104,109,359,949,749,557,377,2616,1607,1251,463,2035,1011,379
AKR1C2,75,214,175,146,191,535,355,181,211,1972,1151,592,302,2260,882,245
AKR1C3,895,926,794,709,1716,2057,1763,1517,1936,3524,2822,2436,2894,4674,3023,1165
AKR1C4,1,4,0,2,2,6,3,1,1,1,3,3,6,4,2,3
AKR1C6P,0,0,0,0,0,1,0,1,1,0,1,0,2,0,1,1
AKR1CL1,1,0,1,2,0,1,1,1,0,1,2,2,2,4,6,1
AKR1D1,0,2,1,0,3,3,4,2,2,1,5,5,1,3,4,1
AKR1E2,9,5,5,5,11,7,7,7,49,20,28,26,45,21,17,27
AKR7A2,425,339,307,282,1086,1139,1007,900,1309,1105,1051,1018,892,1375,1322,846
AKR7A2P1,1,0,0,1,3,0,1,0,10,6,3,2,18,11,4,4
AKR7A3,8,10,6,2,30,20,19,17,54,39,34,23,42,39,28,12
AKR7L,3,0,0,1,9,5,4,4,22,28,31,16,35,30,24,13
AKT1,1044,841,772,720,2285,2800,2948,2457,4482,4295,4296,4414,2304,4427,4408,4533
AKT1S1,685,676,529,502,1465,1994,1823,1540,1252,1112,1164,1158,807,1343,1226,1212
AKT2,935,913,846,791,1897,2645,2629,2352,3384,4699,4682,4498,2905,5266,4957,3812
AKT3,296,174,159,157,500,499,491,408,1303,928,1224,1190,942,1028,1218,1076
AKTIP,116,131,100,96,247,368,365,275,532,817,834,661,355,832,845,630
ALAD,151,127,132,165,307,449,412,443,781,1002,1022,1147,391,1138,1114,871
ALAS1,500,345,360,307,1096,1188,1146,1016,1986,2159,2219,2246,1029,2185,1881,1785
ALAS2,0,0,0,0,0,1,0,0,1,0,3,1,4,2,4,1
ALB,1,1,0,0,2,5,5,3,3,7,11,12,3,7,1,7
ALCAM,1191,986,847,801,3388,3548,4117,3448,7906,8110,10620,10538,4209,8431,9792,12567
ALDH16A1,81,79,85,98,255,420,374,391,509,408,389,433,228,541,503,537
ALDH18A1,729,557,493,446,1292,1473,1483,1359,2557,2325,2806,2623,1407,2405,2695,2700
ALDH1A1,222,1415,1428,1390,525,2123,2852,2874,526,3126,6744,7563,415,4113,6410,2757
ALDH1A2,31,73,47,38,179,757,578,439,591,1461,1814,1397,195,841,929,1328
ALDH1A3,508,386,262,224,476,634,585,406,1927,3440,2519,1368,1142,2872,2173,2078
ALDH1B1,489,260,377,427,1013,693,1121,1023,1529,3408,4118,4227,654,2231,2377,2830
ALDH1L1,55,45,43,37,235,393,264,155,149,1548,751,558,357,1968,804,294
ALDH1L1-AS1,0,0,0,0,0,1,0,0,0,2,0,0,2,2,1,0
ALDH1L1-AS2,1,1,1,3,1,5,6,3,2,9,8,7,4,22,11,6
ALDH1L2,75,12,8,8,216,20,22,20,128,73,88,50,270,39,83,52
ALDH2,261,520,475,509,703,1868,1820,1490,1297,4802,3999,3194,1102,5522,3318,2013
ALDH3A1,2,4,2,1,3,16,8,4,2,27,10,11,1,20,8,3
ALDH3A2,111,240,267,246,283,674,787,612,916,1795,1798,1798,516,2129,1752,939
ALDH3B1,685,353,377,287,916,735,783,641,669,803,751,650,373,617,522,419
ALDH3B2,0,0,0,0,1,0,0,1,0,3,0,0,0,2,3,10
ALDH4A1,529,519,534,539,1252,1659,1645,1365,1130,2678,2531,2527,722,3632,2419,1116
ALDH5A1,60,107,93,94,143,286,309,253,167,522,681,662,88,541,556,335
ALDH6A1,129,162,120,113,330,464,482,457,536,1116,1169,1039,525,1122,968,729
ALDH7A1,322,370,328,332,695,979,893,759,2494,2319,2476,2351,1354,2460,2238,2582
ALDH8A1,24,110,98,112,21,93,128,159,25,119,241,355,57,90,253,108
ALDH9A1,366,408,457,424,834,1214,1363,1169,2058,2821,3307,3078,1403,3312,3242,2191
ALDOA,13720,5714,6135,6656,27178,17816,18288,18611,46081,27032,27632,28657,28037,25987,26483,26256
ALDOB,1,2,1,0,0,0,1,4,2,2,2,3,6,2,11,3
ALDOC,103,25,16,20,222,81,71,86,541,319,392,351,674,329,360,307
ALG1,89,143,92,108,199,397,406,332,386,446,518,477,218,469,530,480
ALG10,16,11,10,10,19,39,28,28,127,81,93,83,61,83,82,79
ALG10B,36,43,33,38,59,106,99,81,726,630,767,615,418,529,692,505
ALG11,19,20,23,23,45,72,71,62,131,178,187,215,119,211,262,252
ALG12,179,195,223,244,354,725,725,652,477,604,697,784,336,726,808,741
ALG13,197,168,147,137,457,394,447,380,840,1239,1346,1276,965,1044,1059,1003
ALG14,27,33,28,30,69,108,96,61,219,177,219,171,133,199,177,163
ALG1L,0,1,0,0,5,3,3,3,1,3,3,3,9,3,7,7
ALG1L2,3,1,1,4,2,6,5,3,13,10,8,11,25,10,7,9
ALG1L9P,2,2,3,3,4,18,17,7,14,32,44,34,31,33,30,43
ALG2,235,225,198,179,486,625,653,602,990,863,1170,1047,1148,981,1080,1044
ALG3,336,332,281,277,786,945,1049,872,904,760,965,877,553,771,886,884
ALG5,124,147,145,124,260,390,445,379,679,755,883,830,501,818,869,716
ALG6,44,55,38,48,132,130,137,123,433,275,362,344,229,258,310,274
ALG8,186,149,133,125,402,415,434,361,890,670,818,711,547,609,706,769
ALG9,200,157,150,133,418,431,411,395,892,887,1070,979,549,832,892,689
ALK,1,0,1,0,1,6,1,0,4,7,12,5,3,6,8,20
ALKBH1,59,53,53,44,130,201,176,148,191,223,281,236,130,303,302,187
ALKBH2,77,51,51,39,188,143,134,104,323,257,272,206,350,252,229,219
ALKBH3,112,65,61,38,202,202,208,130,396,326,326,271,276,335,337,269
ALKBH3-AS1,0,1,0,1,0,0,1,2,5,8,5,4,1,5,8,3
ALKBH4,66,63,53,43,125,168,162,156,143,227,216,216,95,244,293,186
ALKBH5,544,433,433,386,1074,1293,1308,1152,1815,1654,1957,1891,1461,2136,2025,1489
ALKBH6,95,87,65,62,210,263,255,198,178,168,164,183,223,183,147,161
ALKBH7,240,149,138,130,466,453,401,396,304,246,241,245,309,314,313,223
ALKBH8,29,47,25,42,59,91,113,94,369,290,400,279,167,247,309,281
ALLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMS1,94,110,96,93,230,244,316,251,720,761,865,898,407,907,1032,833
ALMS1-IT1,1,1,0,1,1,0,0,0,34,14,7,1,33,13,11,3
ALMS1P,0,0,1,3,0,2,0,1,0,0,3,3,1,2,4,3
ALOX12,20,15,7,10,25,25,25,27,36,42,67,43,48,50,60,48
ALOX12B,2,4,1,6,5,12,16,6,11,13,27,16,4,6,8,15
ALOX12P2,4,10,13,9,6,23,34,25,23,60,120,103,31,89,133,96
ALOX15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
ALOX15B,0,0,0,0,0,2,2,0,0,3,2,0,2,6,0,3
ALOX15P1,0,0,0,0,0,1,1,0,1,3,1,1,1,1,2,0
ALOX5,133,105,108,128,122,173,169,165,95,364,362,430,155,411,393,289
ALOX5AP,1,0,0,0,3,1,0,1,33,2,0,1,5,2,0,1
ALOXE3,1,2,3,1,4,10,13,14,16,26,48,61,9,15,59,38
ALPI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPK1,144,87,81,82,306,220,247,211,561,564,675,735,839,573,714,478
ALPK2,329,190,160,159,461,316,329,229,859,401,622,394,870,316,568,776
ALPK3,242,221,165,213,514,665,852,774,1679,3185,4864,5881,1737,4264,5983,7365
ALPL,0,1,11,9,2,12,15,15,5,18,10,17,0,27,21,3
ALPP,0,1,0,1,4,0,0,4,8,6,3,8,13,5,2,4
ALPPL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALS2,236,187,193,197,500,574,647,650,1268,1470,1988,1974,1173,1587,1834,1998
ALS2CL,48,68,60,60,132,338,376,301,1025,2127,2221,2515,1934,1965,1994,3352
ALS2CR11,3,4,0,0,2,6,4,8,10,24,28,27,28,20,25,12
ALS2CR12,5,1,2,0,2,4,5,1,13,5,4,11,25,10,10,10
ALX1,0,0,1,0,0,2,5,7,0,1,0,4,1,0,1,1
ALX3,3,17,8,8,10,19,23,18,50,93,119,100,46,98,101,66
ALX4,1,1,0,0,2,3,3,1,2,2,2,4,6,0,2,1
ALYREF,138,101,81,106,408,519,466,359,1664,767,641,507,566,860,731,710
AMACR,290,334,361,245,302,588,547,547,177,643,656,641,241,1316,1007,230
AMBN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMBP,94,86,60,39,103,165,103,80,34,232,64,58,39,77,24,47
AMBRA1,233,205,190,181,550,628,687,631,971,1058,1225,1192,512,1090,1197,1097
AMD1,498,273,261,225,1215,759,794,652,4077,2830,3403,2444,2017,3308,3504,2934
AMDHD1,2,5,4,5,4,16,2,8,8,13,8,9,18,21,12,6
AMDHD2,132,184,145,168,340,533,635,538,294,375,345,518,214,604,550,475
AMELX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMELY,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
AMER1,33,34,34,37,77,105,91,89,168,267,281,172,138,365,360,211
AMER2,1,0,2,2,3,6,2,3,8,6,7,8,14,10,12,14
AMER3,0,0,0,0,1,0,0,0,0,0,0,2,1,3,0,0
AMFR,439,360,399,356,1023,1238,1319,1177,2045,2708,3153,2899,1189,2850,3032,2502
AMH,2,2,7,4,5,7,6,3,17,6,4,3,26,1,6,6
AMHR2,0,0,0,0,1,0,0,2,1,0,3,0,1,0,0,0
AMICA1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0
AMIGO1,19,25,32,25,51,106,74,95,75,153,164,136,47,203,249,154
AMIGO2,769,313,282,258,1469,674,658,506,3995,2004,2142,2095,2734,2475,2382,2525
AMIGO3,23,49,40,20,27,86,97,66,114,147,107,110,147,373,225,82
AMMECR1,159,137,175,145,347,422,474,478,1121,930,1229,1083,590,883,1026,974
AMMECR1L,149,146,134,107,381,402,466,355,803,1134,1635,1110,883,1249,1573,1079
AMN,10,22,57,76,30,130,228,226,6,55,40,114,17,55,68,27
AMN1,26,27,31,30,58,82,115,70,118,161,202,196,96,179,156,148
AMOT,119,186,214,199,200,367,466,409,771,1175,1554,1722,274,1266,1474,1422
AMOTL1,364,519,457,455,766,1402,1574,1244,2213,4053,5123,4943,876,4278,5082,4698
AMOTL2,1227,210,257,285,2987,939,1202,1051,3952,2189,1891,2463,2482,1983,1884,3390
AMPD1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
AMPD2,591,325,305,309,1262,1071,1137,962,3237,1401,1568,1481,4413,1325,1466,1357
AMPD3,74,76,52,48,192,212,231,202,345,511,699,634,431,539,564,475
AMPH,0,1,0,0,0,0,1,0,0,3,3,2,0,1,14,0
AMT,49,66,54,35,118,170,144,91,182,460,404,339,308,497,379,186
AMTN,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
AMY1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMY1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
